type,height_m,v_ms
ping_pong,0,0
ping_pong,0,0
ping_pong,0,0
ping_pong,0,0
ping_pong,0,0
ping_pong,1,4.04
ping_pong,1,4.31
ping_pong,1,4.31
ping_pong,1,3.92
ping_pong,1,3.63
ping_pong,2,6.33
ping_pong,2,7.94
ping_pong,2,6.37
ping_pong,2,5.29
ping_pong,2,6.17
ping_pong,2,5.88
ping_pong,5,12.25
ping_pong,5,9.51
ping_pong,5,8.92
ping_pong,5,8.92
ping_pong,5,10.68
ping_pong,5,10.05
cricket,0,0
cricket,0,0
cricket,0,0
cricket,0,0
cricket,0,0
cricket,1,4.25
cricket,1,3.72
cricket,1,4.21
cricket,1,4.61
cricket,1,4.31
cricket,1,4.41
cricket,2,5.45
cricket,2,5.00
cricket,2,5.29
cricket,2,5.59
cricket,2,6.37
cricket,2,5.00
cricket,5,8.19
cricket,5,7.35
cricket,5,8.53
cricket,5,8.82
cricket,5,8.04
cricket,5,8.23


